Identifiant arc,Date debut dispo data,Date fin dispo data,Libelle,Identifiant noeud aval,Libelle noeud aval,Identifiant noeud amont,Libelle noeud amont,geo_point_2d long,geo_point_2d lat,geo_shape
5157,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,SI_St_Cloud,2486,Av.Pte_St_Cloud-BP,2724,SI_St_Cloud,48.8373045739979,2.255741754993203,"{""coordinates"": [[2.256802150354944, 48.83628806958368], [2.256480150384979, 48.83654834477524], [2.255929180088623, 48.83712816448751], [2.255311858022376, 48.83772812810966], [2.254699605248402, 48.83834227607156]], ""type"": ""LineString""}"
5166,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Av_Georges_Lafont,2729,Pte_St_Cloud-Av_Georges_Lafont,2496,Pte_St_Cloud,48.8370348515184,2.2566440955537774,"{""coordinates"": [[2.256411498792425, 48.836660025346276], [2.2568766923151298, 48.83740967769055]], ""type"": ""LineString""}"
6111,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Bercy_bretelle_12,2884,Bercy_bretelle_12-bretelle_17,3168,Bercy_bretelle_12-bretelle_14,48.827800375635086,2.391595071252562,"{""coordinates"": [[2.391951637020759, 48.82710008912655], [2.392053921009357, 48.82733723370533], [2.392062612087069, 48.82765141918639], [2.39189332277862, 48.827862702088545], [2.391601305758742, 48.82799992682785], [2.391229726314684, 48.82807146955581], [2.390942691125588, 48.82804552723966], [2.390705529406012, 48.82798312602109]], ""type"": ""LineString""}"
1230,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Souterrain_Citroen,3211,Balard_Sortie_Citroen-S.Mercier,661,Sout_Citroen_2,48.844462866840345,2.2758688002695298,"{""coordinates"": [[2.274863932592946, 48.84341868443936], [2.276277207699377, 48.84502187731209], [2.2766724994836682, 48.845128630636886], [2.277060476118625, 48.84516952269455]], ""type"": ""LineString""}"
1201,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Bd_Brune,421,Bd_Brune-Gal_de_Maud'huy,592,Bd_Brune-Bournazel,48.82536716889237,2.3154300774852734,"{""coordinates"": [[2.314032732001065, 48.82566963574896], [2.316827422969481, 48.82506470203579]], ""type"": ""LineString""}"
1174,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Av_Pte_de_Vanves,649,Av_Pte_Vanves-Marc_Sangnier,650,Pte_Vanves-Sortie_PI,48.82589027983677,2.3044876830705556,"{""coordinates"": [[2.304271769294322, 48.825218553902616], [2.304703596846789, 48.82656200577093]], ""type"": ""LineString""}"
5502,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Maillot_bretelle_15_(RN13),2890,Gal_Anselin-Bretelles_15-15b,2241,Maillot_bretelles_14-15-16,48.87738382323314,2.278990236949418,"{""coordinates"": [[2.27976798343194, 48.878421384550144], [2.279780822131413, 48.878164448212466], [2.27971690721174, 48.8778662559211], [2.279338435976213, 48.877504979116395], [2.278682682998211, 48.87706859926794], [2.278080388021643, 48.87679163160944], [2.277804065708324, 48.87664718534345]], ""type"": ""LineString""}"
5320,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,SE_Maillot_Bois_bretelle_1,2782,Bd_Andre_Maurois-Rte_Pte_Sablons,2812,SE_Maillot_Bois,48.87882649513022,2.2805282475947695,"{""coordinates"": [[2.281715917231307, 48.88039726361406], [2.281492902597638, 48.88026805737288], [2.28006350265255, 48.878072832944476], [2.279580676429128, 48.87749983599029], [2.279253844894968, 48.877342426508626]], ""type"": ""LineString""}"
942,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Ech_Vincennes_4,537,Pte_Vincennes-Sortie_PE,524,Pte_Vincennes-Acces_PI,48.84640483319899,2.4143976429879683,"{""coordinates"": [[2.413942794729627, 48.84645155864222], [2.41485249124631, 48.84635810775576]], ""type"": ""LineString""}"
941,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Ech_Vincennes_3,523,Pte_Vincennes-Sortie_PI,536,Pte_Vincennes-Acces_PE,48.84703707151931,2.41400660608859,"{""coordinates"": [[2.4141658387156832, 48.84710697574303], [2.413847373461497, 48.84696716729559]], ""type"": ""LineString""}"
1906,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Av_de_Clichy,2043,Av_St_Ouen-Av_de_Clichy,2055,Av_Clichy-P_Ginier,48.887049159949335,2.325859893015701,"{""coordinates"": [[2.326057206933458, 48.88662657905653], [2.3256625790979433, 48.88747174084212]], ""type"": ""LineString""}"
1919,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Av_de_St_Ouen,2044,Av_St_Ouen-Fauvet,2042,Av_St_Ouen-Passage_St_Michel,48.88903490291563,2.3261753784016728,"{""coordinates"": [[2.326008306346461, 48.88852918384884], [2.326342450456885, 48.88954062198243]], ""type"": ""LineString""}"
1882,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Av_de_Clichy,2039,Av_de_Clichy-Legendre,2038,Av_de_Clichy-Moines,48.889817573712456,2.3214117366661373,"{""coordinates"": [[2.320158581812567, 48.89054449369201], [2.322664891519707, 48.88909065373291]], ""type"": ""LineString""}"
